txId,time_step,label,time_split,is_labeled
230425980,1,-1,train,False
5530458,1,-1,train,False
232022460,1,-1,train,False
232438397,1,0,train,True
230460314,1,-1,train,False
230459870,1,-1,train,False
230333930,1,-1,train,False
230595899,1,-1,train,False
232013274,1,-1,train,False
232029206,1,0,train,True
232344069,1,0,train,True
27553029,1,0,train,True
36411953,1,-1,train,False
230405052,1,-1,train,False
34194980,1,-1,train,False
5529846,1,-1,train,False
3881097,1,0,train,True
232457116,1,0,train,True
230409257,1,-1,train,False
32877982,1,-1,train,False
230351738,1,-1,train,False
195218118,1,-1,train,False
88008478,1,-1,train,False
232012569,1,-1,train,False
232412408,1,-1,train,False
232412405,1,0,train,True
232038018,1,-1,train,False
232470342,1,0,train,True
2925426,1,-1,train,False
230550393,1,0,train,True
232051089,1,0,train,True
232470704,1,0,train,True
233591710,1,-1,train,False
234439913,1,-1,train,False
232945017,1,-1,train,False
94251207,1,-1,train,False
6595740,1,-1,train,False
79840192,1,-1,train,False
212704383,1,-1,train,False
212366182,1,-1,train,False
69254632,1,-1,train,False
230595355,1,-1,train,False
166890641,1,-1,train,False
82304496,1,-1,train,False
232033533,1,0,train,True
230470022,1,-1,train,False
230598493,1,-1,train,False
43560505,1,-1,train,False
14878322,1,-1,train,False
230415750,1,-1,train,False
232073372,1,-1,train,False
75604335,1,-1,train,False
230473487,1,0,train,True
7089694,1,0,train,True
231179595,1,0,train,True
3307463,1,-1,train,False
230658679,1,-1,train,False
232074274,1,-1,train,False
5234549,1,-1,train,False
231177927,1,0,train,True
232431877,1,-1,train,False
2758467,1,0,train,True
81273879,1,-1,train,False
232437171,1,0,train,True
3878856,1,-1,train,False
3878886,1,0,train,True
231182296,1,0,train,True
14660781,1,0,train,True
13334987,1,-1,train,False
5530452,1,-1,train,False
230519287,1,-1,train,False
194810163,1,-1,train,False
230423321,1,-1,train,False
232399276,1,-1,train,False
230659456,1,-1,train,False
230658142,1,-1,train,False
230347386,1,-1,train,False
37233982,1,-1,train,False
230427468,1,-1,train,False
43358239,1,0,train,True
230528714,1,0,train,True
75605182,1,-1,train,False
75604052,1,-1,train,False
230585122,1,0,train,True
231208959,1,-1,train,False
230455950,1,-1,train,False
2881274,1,0,train,True
232658952,1,-1,train,False
232658962,1,-1,train,False
230530291,1,-1,train,False
2881273,1,0,train,True
75604616,1,-1,train,False
37232637,1,-1,train,False
230531551,1,-1,train,False
4619363,1,-1,train,False
230516010,1,-1,train,False
230516478,1,0,train,True
232441583,1,-1,train,False
232441589,1,-1,train,False
5488136,1,0,train,True
27553759,1,0,train,True
5529367,1,-1,train,False
232467632,1,0,train,True
230658273,1,-1,train,False
230658517,1,-1,train,False
231181128,1,0,train,True
232453404,1,0,train,True
232353601,1,-1,train,False
230447764,1,0,train,True
230423018,1,0,train,True
232392936,1,0,train,True
234419729,1,-1,train,False
152498092,1,0,train,True
230531146,1,-1,train,False
230545782,1,-1,train,False
230415003,1,-1,train,False
230414561,1,-1,train,False
230453429,1,-1,train,False
230459154,1,-1,train,False
230425284,1,-1,train,False
83431059,1,-1,train,False
230530225,1,-1,train,False
230095969,1,-1,train,False
230440353,1,-1,train,False
230440535,1,-1,train,False
230440534,1,-1,train,False
232022496,1,-1,train,False
232022773,1,-1,train,False
230348238,1,-1,train,False
3409584,1,-1,train,False
89273,1,0,train,True
3906238,1,0,train,True
230973596,1,0,train,True
232455956,1,0,train,True
38062994,1,0,train,True
80044108,1,-1,train,False
230423318,1,0,train,True
146601928,1,-1,train,False
232368272,1,-1,train,False
232453639,1,0,train,True
232453630,1,0,train,True
51860219,1,0,train,True
230521273,1,-1,train,False
230522097,1,0,train,True
230658997,1,-1,train,False
1913117,1,0,train,True
232909272,1,0,train,True
231179660,1,-1,train,False
231177063,1,0,train,True
206222134,1,0,train,True
192431356,1,0,train,True
230967090,1,-1,train,False
230439439,1,-1,train,False
230658277,1,-1,train,False
230563355,1,-1,train,False
230455752,1,-1,train,False
232416085,1,-1,train,False
232038004,1,-1,train,False
232037822,1,-1,train,False
230471902,1,-1,train,False
230471916,1,-1,train,False
232393313,1,-1,train,False
230511916,1,-1,train,False
200165930,1,0,train,True
39617084,1,-1,train,False
230432611,1,0,train,True
230966618,1,0,train,True
230512979,1,0,train,True
230530178,1,-1,train,False
